,id,desc,category,price,old_price,discount_type
0,653703,tuletikud rimi,10-54-105,0.08,,"
"
1,277122,mitmeviljakukkel 0.035kg,SH-6-6,0.18,,"
"
2,267403,presspärm nordic 0.05kg,SH-13-13-83,0.19,,"
"
3,124854,pulgakomm fazer muumi 0.008kg,SH-9-6-11,0.19,,"
"
4,808709,kohvijook lahustuv 3in1 rimi 0.018kg,SH-13-9-47,0.19,,"
"
5,156466,kohvijook jacobs 3in1 mixes 0.0152kg,SH-13-9-47,0.22,,"
"
6,812163,toiduželatiin rimi basic 0.02kg,SH-13-13-80,0.24,,"
"
7,193845,kohv lahustuv 3in1 pruun suhkur nescafe 0.0165kg,SH-13-9-47,0.25,,"
"
8,193835,kohvijook lahustuv 2in1 nescafé 0.008kg,SH-13-9-47,0.25,,"
"
9,257086,kohupiimadessert gl vanilli jeppi 0.038kg,SH-11-2-7,0.25,,"
"
10,194437,kakaojook opti start nesquik 0.0135kg,SH-13-5,0.25,,"
"
11,193844,kohv lahustuv 3in1 strong nescafé 0.017kg,SH-13-9-47,0.25,,"
"
12,193837,kohv lahustuv 3in1 nescafé classic 0.0165kg,SH-13-9-47,0.25,,"
"
13,198508,kohvijook lahustuv karamel jacobs 3in1 0.0169kg,SH-13-9-47,0.26,,"
"
14,172940,kohvijook lahustuv 2in1 jacobs 0.014kg,SH-13-9-47,0.27,,"
"
15,175906,kohvijook lahustuv cafe latte jacobs 0.0125kg,SH-13-9-47,0.27,,"
"
16,812162,sidrunhape rimi basic 0.03kg,SH-13-13-81,0.3,,"
"
17,811931,kanalihamaitselised kiirnuudlid rimi basic 50,SH-13-8-39,0.31,,"
"
18,812182,veiseliham kiirnuudlid rimi basic 0.05kg,SH-13-8-39,0.31,,"
"
19,814058,kuivpärm rimi basic 0.012kg,SH-13-13-83,0.31,,"
"
20,163121,mesi korio 0.025kg,SH-13-10-53,0.32,,"
"
21,812161,vanilliinsuhkur rimi basic 0.035kg,SH-13-13-81,0.34,,"
"
22,811966,küpsised rimi basic klassik 0.155kg,SH-9-5-5,0.35,,"
"
23,269082,kohuke vanilli karums 0.045kg,SH-11-2-7,0.35,0.45,"regular
"
24,101372,närimiskommid red band tutti frutti 0.015kg,SH-9-3-2,0.35,,"
"
25,113612,nätsukomm erinevad maitsed mamba 0.0265kg,SH-9-3-2,0.35,,"
"
26,812160,jahvatatud must pipar rimi basic 0.015kg,SH-13-12-75,0.36,,"
"
27,1358820,allikavesi karboniseerimata rimi 0.5l,SH-3-12-8,0.37,,"
"
28,1358802,allikavesi karboniseerimata rimi kids 0.5l,SH-3-12-8,0.37,,"
"
29,1358811,allikavesi karboniseeritud rimi 0.5l,SH-3-12-8,0.37,,"
"
30,811336,kohuke karamelliglasuuriga rimi 0.038kg,SH-11-2-7,0.37,,"
"
31,811936,köögiviljamaitselised kiirnuudlid rimi basic,SH-13-8-39,0.37,,"
"
32,811346,kohuke küpsiste ja želeetükkidega rimi 0.038kg,SH-11-2-7,0.37,,"
"
33,812372,"mahlajook rimi apelsini,banaani,virsiku 0.2l",SH-3-8-2,0.39,,"
"
34,987102,kohuke maasika karums 0.045kg,SH-11-2-7,0.39,0.51,"regular
"
35,1003246,kohvijook lahustuv cappuccino nescafe 0.015kg,SH-13-9-47,0.39,,"
"
36,128630,kummikommid red band tutti frutti hearts 0.015kg,SH-9-3-2,0.39,,"
"
37,812630,õunamahlajook rimi 0.2l,SH-3-8-2,0.39,,"
"
38,812371,mahlajook rimi virsiku ja viinamarja 0.2l,SH-3-8-2,0.39,,"
"
39,805782,kassisööt purrrfect linnul tükid kastm 0.1kg,SH-7-1-1,0.39,,"
"
40,812378,mahlajook rimi multipuuvilja 0.2l,SH-3-8-2,0.39,,"
"
41,269071,kohuke kookose karums 0.045kg,SH-11-2-7,0.39,0.54,"regular
"
42,257082,kakaodessert gl šokolaadi jeppi 0.038kg,SH-11-2-7,0.39,,"
"
43,269085,kohuke karamelli karums 0.045kg,SH-11-2-7,0.39,0.49,"regular
"
44,269083,kohuke šokolaadi karums 0.045kg,SH-11-2-7,0.39,0.49,"regular
"
45,257084,kohupiimadessert gl vaarika jeppi 0.038kg,SH-11-2-7,0.39,,"
"
46,949418,kohupiimadessert valge gl jeppi 0.038kg,SH-11-2-7,0.39,,"
"
47,811957,kiirsupp rimi express kana ja nuudlitega 0.014kg,SH-13-8-41,0.39,,"
"
48,811953,tomati-kiirsupp rimi express nuudlitega 0.021kg,SH-13-8-41,0.39,,"
"
49,101375,vahvlibatoon fazer suffeli 0.021kg,SH-9-9-21,0.39,,"
"
50,1350162,joogivesi saaremaa 0.5l,SH-3-12-8,0.39,,"
"
51,804290,tee ürdi kummeli rimi basic 0.02kg,SH-13-17-98,0.41,,"
"
52,809242,karamellid münt rimi basic 0.1kg,SH-9-3-3,0.41,,"
"
53,937834,mangokohuke karums 0.045kg,SH-11-2-7,0.42,0.54,"regular
"
54,811315,rohelised oliivid rimi basic kivid 0.18kg 0.07kg,SH-13-10-56,0.43,,"
"
55,804228,makaron knees-sarveke rimi basic 0.4kg,SH-13-14-20,0.43,,"
"
56,995341,mini lihapirukas cannelle 0.02kg,SH-6-6,0.43,,"
"
57,812875,kohvikoor rimi basic 10% 0.2l,SH-11-5-24,0.43,,"
"
58,1350294,vesi gaasiga saaremaa 0.5l,SH-3-12-8,0.44,,"
"
59,147406,lahustuv pärm dr.oetker 0.007kg,SH-13-13-83,0.44,,"
"
60,138796,kartulipuder või ja tilliga 5 min maggi 0.035kg,SH-13-8-40,0.45,,"
"
61,138797,kartulipuder rõõsakoorega 5 min maggi 0.035kg,SH-13-8-40,0.45,,"
"
62,150324,vahukoore tardaine dr.oetker 0.009kg,SH-13-13-79,0.45,,"
"
63,100973,nätsukommid maasikamaitselised chewits 0.029kg,SH-9-3-2,0.45,,"
"
64,162138,nätsukommid hapu õuna chewits xtreme 0.03kg,SH-9-3-2,0.45,,"
"
65,299158,dessert zottis šhokolaadi zott 0.115kg,SH-11-2-2,0.45,,"
"
66,299322,dessert zottis vanilje zott 0.115kg,SH-11-2-2,0.45,,"
"
67,812164,must pipar rimi basic 0.02kg,SH-13-12-75,0.45,,"
"
68,276039,kartul pesemata kg eesti,SH-12-1-1,0.45,,"
"
69,167976,müslibatoon maasika ja jogurti herkuless 0.025kg,SH-13-3-17,0.46,,"
"
70,805800,kassisööt purrrfect loomalihaga 0.1kg,SH-7-1-1,0.47,,"
"
71,805807,"kassisööt purrrfect loomalihaga,linnulih,100g",SH-7-1-1,0.47,,"
"
72,805808,kassisööt purrrfect kala lihaga 0.1kg,SH-7-1-1,0.47,,"
"
73,165545,jook õuna-virsiku tymbark frozen 0.2l,SH-3-8-2,0.49,,"
"
74,804289,tee ürdi piparmündi rimi basic 0kg,SH-13-17-98,0.49,,"
"
